sample_id,ambiguous_question,annotation_id,long_answer,knowledge,wikipages,qa_pair_id,sub_question,short_answers
-3469572554119413466,Who was the greatest warrior for the trojans?,0,"In Greek and Roman mythology, Hector was a Trojan prince and the greatest warrior for Troy in the Trojan War. ",[NO_KNOWLEDGE_AVAILABLE],"List of Trojan War characters: https://en.wikipedia.org/wiki/List%20of%20Trojan%20War%20characters
Hector: https://en.wikipedia.org/wiki/Hector",1,What was the position of the greatest warrior for the trojans?,prince
531835759431685810,Who produced the ten commandments of computer ethics?,1,"The Ten Commandments of Computer Ethics were created in 1992 by the Computer Ethics Institute. The commandments were introduced in the paper ""In Pursuit of a 'Ten Commandments' for Computer Ethics"" by Ramon C. Barquin as a means to create ""a set of standards to guide and instruct people in the ethical use of computers.""",[NO_KNOWLEDGE_AVAILABLE],Ten Commandments of Computer Ethics: https://en.wikipedia.org/wiki/Ten%20Commandments%20of%20Computer%20Ethics,1,Which person produced the ten commandments of computer ethics?,Ramon C. Barquin
-3492518758992084885,Who gets mandy pregnant in season 2 of shameless?,0,"There is a British and an American version of the show ""Shameless."" In season 2 of each version, Mandy becomes pregnant. In the American version, Terry Milkovich, her own father impregnated her while he was drunk. Terry is played by actor Dennis Cockrum. However, in the British version, Lip as the father of Mandy's baby. Jody Latham plays the role of Lip in the British version of the show.",Lip and Ian learn the true identity of the father of Mandy's baby–her own father impregnated her while he was drunk.,"Shameless (season 2): https://en.wikipedia.org/wiki/Shameless%20%28season%202%29
List of Shameless (British TV series) episodes: https://en.wikipedia.org/wiki/List%20of%20Shameless%20%28British%20TV%20series%29%20episodes",2,Which character gets mandy pregnant in season 2 of the American show shameless?,Terry Milkovich
-4217433867539652706,What state is directly west of north dakota?,0,"Montana is the state directly west of North Dakota. Idaho is further west of both North Dakota and Montana, followed by Oregon and Washington being the furthest west of North Dakota. ",[NO_KNOWLEDGE_AVAILABLE],North Dakota: https://en.wikipedia.org/wiki/North%20Dakota,0,What state is the closest state directly west of north dakota?,Montana
-3346585405026933671,What is the meaning of the latin word camera obscura?,0,"A camera obscura, from the Latin word camera obscūra or ""dark chamber"", is a darkened room with a small hole or lens at one side through which an image is projected onto a wall or table opposite the hole. A camera obscura without a lens but with a very small hole is sometimes referred to as a pinhole camera or pinhole image, although this more often refers to simple (homemade) lensless cameras where photographic film or photographic paper is used.","A camera obscura (plural camerae obscurae or camera obscuras, from Latin camera obscūra, ""dark chamber"")[1] is a darkened room with a small hole or lens at one side through which an image is projected onto a wall[2][3] or table[4] opposite the hole.[2][3]
A camera obscura without a lens but with a very small hole is sometimes referred to as a pinhole camera, although this more often refers to simple (homemade) lensless cameras where photographic film or photographic paper is used.",Camera obscura: https://en.wikipedia.org/wiki/Camera%20obscura,0,What is the literal meaning of the latin word camera obscura?,dark chamber
5325575868986432678,When is the last time georgia bulldogs won the sec championship?,1,"The Georgia Bulldogs football team, from the University of Georgia, compete in the Football Bowl Subdivision of the National Collegiate Athletic Association, and the Eastern Division of the Southeastern Conference, or SEC. The Bulldogs have won the SEC Championship Game multiple times, more recently on December 2, 2017 and December 3, 2005.","The SEC Championship Game is an annual American football game that has determined the Southeastern Conference's season champion since 1992.
While ten SEC members have played in the game, only six have won: Florida, Georgia, and Tennessee of the East Division, and Alabama, Auburn, and LSU of the West Division. Each of these teams has won the championship multiple times.
The Georgia Bulldogs football program represents the University of Georgia in the sport of American football. The Bulldogs compete in the Football Bowl Subdivision (FBS) of the National Collegiate Athletic Association (NCAA) and the Eastern Division of the Southeastern Conference (SEC).",SEC Championship Game: https://en.wikipedia.org/wiki/SEC%20Championship%20Game,4,"As of 2016, when was the last time the Georgia Bulldogs won the SEC championship?",2005
-2138294266173392605,Who plays the mom in bob's burgers?,0,"Bob's Burgers is an American adult animated sitcom created by Loren Bouchard for the Fox Broadcasting Company. Some of the voice actors featured in the show are John Roberts as Linda, Renée Taylor as Gloria (Linda's mother), Lindsey Stoddart as the mother of Logan Barry Bush, and Wendi McLendon-Covey as Mudflap.",Bob's Burgers is an American adult animated sitcom created by Loren Bouchard for the Fox Broadcasting Company.,List of Bob's Burgers characters: https://en.wikipedia.org/wiki/List%20of%20Bob%27s%20Burgers%20characters,0,Who plays Linda in Bobs Burgers?,John Roberts
-3072146511895791249,When did the draft began for the vietnam war?,0,"The draft for the Vietnam War started in France in 1954, in China in 1962 and in the United States on December 1, 1969. ","The Vietnam War (Vietnamese: Chiến tranh Việt Nam), also known as the Second Indochina War,[59] was a conflict in Vietnam, Laos, and Cambodia from 1 November 1955[A 1] to the fall of Saigon on 30 April 1975.","Vietnam War: https://en.wikipedia.org/wiki/Vietnam%20War
Draft lottery (1969): https://en.wikipedia.org/wiki/Draft%20lottery%20%281969%29",0,When did the draft began for the vietnam war in United States?,"December 1, 1969"
-7368635515365513931,What's the famous street in new orleans?,0,"There are two historically famous streets in the city of New Orleans. Bourbon Street is a street in the heart of the French Quarter of New Orleans. Extending thirteen blocks from Canal Street to Esplanade Avenue, Bourbon Street is famous for its many bars and strip clubs. Canal Street is a major thoroughfare in the city of New Orleans. Forming the upriver boundary of the city's oldest neighborhood, the French Quarter or Vieux Carré, it served historically as the dividing line between the colonial-era (18th-century) city and the newer American Sector, today's Central Business District.",[NO_KNOWLEDGE_AVAILABLE],"New Orleans: https://en.wikipedia.org/wiki/New%20Orleans
Bourbon Street: https://en.wikipedia.org/wiki/Bourbon%20Street
List of streets of New Orleans: https://en.wikipedia.org/wiki/List%20of%20streets%20of%20New%20Orleans
Canal Street, New Orleans: https://en.wikipedia.org/wiki/Canal%20Street%2C%20New%20Orleans",0,What's the famous street in new orleans known for bars and strip clubs?,Bourbon Street
5373802723357129190,Who made the song total eclipse of the heart?,0,"""Total Eclipse of the Heart"" is a song recorded by Welsh singer Bonnie Tyler. It was written and produced by Jim Steinman, and released in 1983 on Tyler's fifth studio album, ""Faster Than the Speed of Night"". The song was released as a single by Columbia Records on 11 February 1983 in the United Kingdom and on 31 May 1983 in the United States.",[NO_KNOWLEDGE_AVAILABLE],Total Eclipse of the Heart: https://en.wikipedia.org/wiki/Total%20Eclipse%20of%20the%20Heart,4,"Who wrote the song ""Total Eclipse of The Heart""?",Jim Steinman
2215574890678862752,Who came up with a cure for tuberculosis?,0,"In the quest to find a cure for tuberculosis, several methods have been developed overtime. The surgical intervention, pneumothorax, which is the collapsing of an infected lung to ""rest"" it and allow the lesions to heal—was used to treat tuberculosis. In 1834, F.H. Ramadge induced the first successful therapeutic pneumothorax, and reported subsequently the patient was cured. Later, in 1906, Albert Calmette and Camille Guérin developed a drug against tuberculosis from attenuated bovine-strain tuberculosis, the first genuine success in  immunizing against tuberculosis. In addition, Albert Schatz, Elizabeth Bugie, and Selman Waksman developed Streptomycin, the first effective antibiotic for tuberculosis and the first effective antibiotic against ""M. tuberculosis"". Since then, medical researchers Walsh McDermott made his own contribution when he tested the first oral mycobactericidal drug on tuberculosis. Finally, in 1957, scientist Piero Sensi and Maria Teresa Timbal became the first to isolate Rifamycins, a group of antibiotics that particularly effective against mycobacteria, and are therefore used to treat tuberculosis.  ","Rifamycins were first isolated in 1957 from a fermentation culture of Streptomyces mediterranei at the laboratory of Gruppo Lepetit SpA in Milan by two scientist named Piero Sensi and Maria Teresa Timbal, working with the Israeli scientist Pinhas Margalith. 
The rifamycins are a group of antibiotics that are synthesized either naturally by the bacterium Amycolatopsis rifamycinica or artificially. 
Rifamycins are particularly effective against mycobacteria, and are therefore used to treat tuberculosis, leprosy, and mycobacterium avium complex (MAC) infections.",History of tuberculosis: https://en.wikipedia.org/wiki/History%20of%20tuberculosis,4,Who came up with the first vaccine immunizing against tuberculosis?,Albert Calmette and Camille Guérin
-962065981949449467,Who won the final hoh big brother 20?,1,"Kaycee Clark  won the Final Head of House in Big Brother 20, which is the 20th season of the American reality television series Big Brother, an American television reality competition in which a group of contestants, known as ""House Guests"", live together in a specially constructed house that is isolated from the outside world for a cash prize of $500,000 or $750,000 in the 23rd season. The House Guests are continuously monitored during their stay and throughout the course of the competition, House Guests are evicted from the house, by being voted out of the competition. Sarah Harding won the  final vote in the British version Celebrity Big Brother 20. ","Big Brother 20 is the 20th season of the American reality television series Big Brother.
Big Brother is an American television reality competition show based on the original Dutch reality show of the same name created by producer John de Mol in 1997.[4] 
The show broadly follows the premise of other versions of the format, in which a group of contestants, known as ""HouseGuests"", live together in a specially constructed house that is isolated from the outside world for a cash prize of $500,000 (or $750,000 in the 23rd season). The HouseGuests are continuously monitored during their stay in the house by live television cameras as well as personal audio microphones. Throughout the course of the competition, HouseGuests are evicted from the house, by being voted out of the competition. 
Head of Household (HOH)","Big Brother (British series 19): https://en.wikipedia.org/wiki/Big%20Brother%20%28British%20series%2019%29
Big Brother (German TV series): https://en.wikipedia.org/wiki/Big%20Brother%20%28German%20TV%20series%29
Celebrity Big Brother (British series 20): https://en.wikipedia.org/wiki/Celebrity%20Big%20Brother%20%28British%20series%2020%29
Big Brother (British TV series): https://en.wikipedia.org/wiki/Big%20Brother%20%28British%20TV%20series%29
Big Brother 20 (American season): https://en.wikipedia.org/wiki/Big%20Brother%2020%20%28American%20season%29",1,Who won the final vote in the British reality show Celebrity Big Brother 20?,Sarah Harding
-4891954000928831702,The repetition of phrases or sentences with similar structures or meanings is called?,1,"In rhetoric, Parallel Syntax (also known as parallel construction and parallelism) is a rhetorical device that consists of repetition among adjacent sentences or clauses. The repeated sentences or clauses provides emphasis to a center theme or idea the author is trying to convey. Schesis onomaton is a rhetorical technique used to emphasize an idea by repeating it rapidly using slightly different words that have the same or a very similar meaning.",[NO_KNOWLEDGE_AVAILABLE],"Schesis onomaton: https://en.wikipedia.org/wiki/Schesis%20onomaton
Glossary of rhetorical terms: https://en.wikipedia.org/wiki/Glossary%20of%20rhetorical%20terms
Parallel syntax: https://en.wikipedia.org/wiki/Parallel%20syntax
Parallelism (grammar): https://en.wikipedia.org/wiki/Parallelism%20%28grammar%29",1,The repetition of phrases or sentences with similar meanings is called?,Schesis onomaton
8369552384426926962,When does the new season of the expanse start?,0,"There has been multiple seasons of the American science fiction television series The Expanse. Season one came out on December 14, 2015, season two came out February 1, 2017, season three came out April 11, 2018 and season four came out December 12, 2019.","The Expanse is an American science fiction television series developed by Mark Fergus and Hawk Ostby, based on the series of novels of the same name by James S. A. Corey. ",The Expanse (TV series): https://en.wikipedia.org/wiki/The%20Expanse%20%28TV%20series%29,0,When does the new season 1 of the expanse start?,"December 14, 2015"
-4728900912577712058,Who played kelly on the drew carey show?,0,"The Drew Carey Show is an American television sitcom that has had a few actresses with the name Kelly. There was Cynthia Watros who played Kellie Newmark, Marlo Kelly played by Jenny McCarthy, Grace Kelly played by Brett Butler (Brett Anderson) and Kelly Walker played by Anna Gunn. ","The Drew Carey Show is an American television sitcom that aired on ABC from September 13, 1995, to September 8, 2004","Anna Gunn: https://en.wikipedia.org/wiki/Anna%20Gunn
The Drew Carey Show: https://en.wikipedia.org/wiki/The%20Drew%20Carey%20Show
Drew Carey: https://en.wikipedia.org/wiki/Drew%20Carey
Grace Kelly: https://en.wikipedia.org/wiki/Grace%20Kelly
Susan Sutherland Isaacs: https://en.wikipedia.org/wiki/Susan%20Sutherland%20Isaacs
Susan Isaacs (disambiguation): https://en.wikipedia.org/wiki/Susan%20Isaacs%20%28disambiguation%29
List of The Drew Carey Show characters: https://en.wikipedia.org/wiki/List%20of%20The%20Drew%20Carey%20Show%20characters
Brett Butler (actress): https://en.wikipedia.org/wiki/Brett%20Butler%20%28actress%29
Brigitte Nielsen: https://en.wikipedia.org/wiki/Brigitte%20Nielsen
Susan Isaacs: https://en.wikipedia.org/wiki/Susan%20Isaacs",2,Who played Grace kelly on the drew carey show?,"Brett Butler ,  Brett Anderson"
434290836324078234,Who is opening for shania twain in ottawa?,0,"Over her 30 plus year music career, Canadian singer and songwriter Shania Twain has performed and toured various cities in North America. One of those being Ottawa, Canada. In her 1997 tour, Come On Over, the family band Leahy and country artist Shane Minor performed the opening act. In the second concert tour (Up! Tour), Canadian country music band Emerson Drive performed the opening act. In the third tour, Rock This Country (2015), Canadian country musician under the stage name Wes Mack served as the only opening act. In her fourth headlining concert tour (2018), The Now Tour, was opened by Swiss singer Bastian Baker.","Eilleen ""Shania"" Twain[1] OC (/aɪˈliːn/ eye-LEEN, /ʃənaɪə/; born Eilleen Regina Edwards; August 28, 1965) is a Canadian singer and songwriter. 
The Up! Tour was the second concert tour by Canadian singer–songwriter Shania Twain. 
Emerson Drive is a Canadian country music band consisting of Brad Mates (lead vocals), Danick Dupelle (guitars and backing vocals), Mike Melancon (drums), and Dale Wallace (keyboards and backing vocals).
The Rock This Country Tour was the third concert tour by Canadian recording artist Shania Twain. 
Wesley MacInnes is a Canadian country musician under the stage name Wes Mack, an actor, and a director...In June 2015 Mack released his second major label single, The Way You Let Me Down (which peaked at number 11 on the Canadian Country Billboard chart) and began the first leg of Shania Twain's Rock This Country farewell tour serving as the only opening act.
The Now Tour was the fourth headlining concert tour by Canadian recording artist Shania Twain, in support of her fifth studio album Now (2017)... The tour began on May 3, 2018, in Tacoma, and was initially scheduled to conclude in Las Vegas on August 4, 2018[1][2] but was later extended to conclude in Dunedin on December 22, 2018. ","Come On Over Tour: https://en.wikipedia.org/wiki/Come%20On%20Over%20Tour
Now Tour (Shania Twain): https://en.wikipedia.org/wiki/Now%20Tour%20%28Shania%20Twain%29
Rock This Country Tour: https://en.wikipedia.org/wiki/Rock%20This%20Country%20Tour
Shania Twain: https://en.wikipedia.org/wiki/Shania%20Twain
Up! Tour: https://en.wikipedia.org/wiki/Up%21%20Tour",1,Who is opening for shania twain in ottawa on the Up! Tour?,Emerson Drive
-7552544848676354758,Where does raymond live in everybody loves raymond?,0,"Everybody Loves Raymond is an American sitcom television series. The show is centered on the life of an Italian-American everyman named Raymond Barone, a sportswriter for Newsday. He lives in Lynbrook, Long Island, NY with his wife, Debra, and their three children Alexandra (""Ally""), Geoffrey, and Michael. He lives across the street from his parents.","Everybody Loves Raymond is an American sitcom television series created by Philip Rosenthal that aired on CBS from September 13, 1996, to May 16, 2005, with a total of 210 episodes spanning over nine seasons.
The show is centered on the life of an Italian-American everyman named Raymond Barone, a sportswriter for Newsday living with his family on Long Island.
He lives in Lynbrook, Long Island with his wife, Debra, and their three children Alexandra (""Ally""), Geoffrey, and Michael.","Lynbrook, New York: https://en.wikipedia.org/wiki/Lynbrook%2C%20New%20York
Everybody Loves Raymond: https://en.wikipedia.org/wiki/Everybody%20Loves%20Raymond",0,What is the city and state where Raymond lives in Everybody Loves Raymond?,"Lynbrook, Long Island"
3257374324240537058,Who scored maximum goals in a single world cup match?,1,"More than 2,000 goals have been scored in the 21 editions of the FIFA World Cup final tournaments, not counting penalties scored during shoot-outs. Since the first goal scored by French player Lucien Laurent at the 1930 FIFA World Cup, more than 1,250 footballers have scored goals in the World Cup final tournaments, of whom just 97 have scored five or more. Michelle Akers and Alex Morgan scored the most goals in one woman's World Cup game, each with 5 goals. Russia's Oleg Salenko scored the most goals in one men's World Cup game. Hungary is the country that scored the most goals in a single men's World Cup match with 11 goals and the United States scored the most in a single women's World Cup match with 13 goals. Austria v Switzerland scored the maximum amount of goals combined in a single men's World Cup match.","More than 2,000 goals have been scored in the 21 editions of the FIFA World Cup final tournaments, not counting penalties scored during shoot-outs.[1] Since the first goal scored by French player Lucien Laurent at the 1930 FIFA World Cup,[2] more than 1,250 footballers have scored goals in the World Cup final tournaments,[3] of whom just 97 have scored five or more.
Most goals scored in a match
5: Michelle Akers ( United States), vs Chinese Taipei, 1991;[7] Alex Morgan ( United States), vs Thailand, 2019.
Most goals scored in a match, one team
13:  United States, vs Thailand, 2019.","FIFA World Cup top goalscorers: https://en.wikipedia.org/wiki/FIFA%20World%20Cup%20top%20goalscorers
List of FIFA World Cup records and statistics: https://en.wikipedia.org/wiki/List%20of%20FIFA%20World%20Cup%20records%20and%20statistics
1954 FIFA World Cup: https://en.wikipedia.org/wiki/1954%20FIFA%20World%20Cup
FIFA Women's World Cup records and statistics: https://en.wikipedia.org/wiki/FIFA%20Women%27s%20World%20Cup%20records%20and%20statistics",0,Who scored the most goals in one woman's World Cup game?|What player scored maximum goals in a single Women's world cup match?,"Alex Morgan, Michelle Akers and Alex Morgan"
6945133188536552979,Where did the idea of representative government first develop?,0,"The first parliaments date back to the Middle Ages. In 930, the first assembly of the Alþingi was convened at Þingvellir in Iceland, becoming the earliest version of a formalized parliamentary system. The Roman Republic was the first known state in the western world to have a representative government, despite taking the form of a direct government in the Roman assemblies. ","The first parliaments date back to the Middle Ages. In 930, the first assembly of the Alþingi was convened at Þingvellir in Iceland,[1][2] becoming the earliest version of a formalized parliamentary system.
The Roman Republic was the first known state in the western world to have a representative government, despite taking the form of a direct government in the Roman assemblies. ","Republic: https://en.wikipedia.org/wiki/Republic
Representative democracy: https://en.wikipedia.org/wiki/Representative%20democracy
History of Parliamentarism: https://en.wikipedia.org/wiki/History%20of%20Parliamentarism",0,Where was the first known government in the western world to have a representative  government?,Roman Republic
2547299592085156135,Where are electrons located in a covalent bond?,1,"A covalent bond is a chemical bond in which electron pairs are shared between atoms. These electron pairs, called shared pairs or bonding pairs, are located in the outer shell of each atom in the bond.","A covalent bond is a chemical bond that involves the sharing of electron pairs between atoms. These electron pairs are known as shared pairs or bonding pairs, and the stable balance of attractive and repulsive forces between atoms, when they share electrons, is known as covalent bonding.",Covalent bond: https://en.wikipedia.org/wiki/Covalent%20bond,0,Where are electrons that are involved in a covalent bond located?,outer shell
-2777825999784077693,Who figured out a way to determine the type of blood?,0,"Karl Landsteiner figured out a way to determine the ABO type of blood in 1931. Landsteiner received the Nobel Prize in Physiology or Medicine in 1930 for this discovery. The rhesus factor type of blood was discovered by 1937 by Karl Landsteiner and Alexander S. Wiener. The term “Rh”, a human blood group system, was originally an abbreviation of ""Rhesus factor"" and believed by Karl Landsteiner and Alexander S. Wiener to be a similar antigen found in rhesus monkey red blood cells.","The Rh blood group system is a human blood group system.
The ABO blood types were discovered by Karl Landsteiner in 1901; he received the Nobel Prize in Physiology or Medicine in 1930 for this discovery.","Rh blood group system: https://en.wikipedia.org/wiki/Rh%20blood%20group%20system
ABO blood group system: https://en.wikipedia.org/wiki/ABO%20blood%20group%20system",0,Who figured out a way to determine the ABO type of blood?,"Karl Landsteiner, Landsteiner"
1323128166246065774,When did the song unchained melody come out?,0,"The original version of  Unchained Melody came out in 1955. Then in July 1965, the Righteous Brothers' version with a solo by Bobby Hatfield, became the jukebox standard.",[NO_KNOWLEDGE_AVAILABLE],Unchained Melody: https://en.wikipedia.org/wiki/Unchained%20Melody,0,When did the song unchained melody first come out?,1955
